Timestamp,Container,CPU Usage,Memory Usage
2023-11-25 8:59,Visualizer,60.80%,323.4
2023-11-25 8:59,EVAM,18.82%,81.13
2023-11-25 9:04,Visualizer,63.36%,323.4
2023-11-25 9:04,EVAM,18.44%,81.83
2023-11-25 9:09,Visualizer,63.27%,323.4
2023-11-25 9:09,EVAM,18.71%,90.46
2023-11-25 9:14,Visualizer,64.59%,323.4
2023-11-25 9:14,EVAM,19.13%,81.84
2023-11-25 9:20,Visualizer,60.29%,323.4
2023-11-25 9:20,EVAM,19.21%,81.26
2023-11-25 9:25,Visualizer,61.05%,323.4
2023-11-25 9:25,EVAM,18.32%,90.46
2023-11-25 9:30,Visualizer,60.23%,323.4
2023-11-25 9:30,EVAM,19.47%,81.12
2023-11-25 9:35,Visualizer,60.39%,323.4
2023-11-25 9:35,EVAM,18.01%,81.12
2023-11-25 9:40,Visualizer,64.65%,323.4
2023-11-25 9:40,EVAM,19.15%,81.14
2023-11-25 9:45,Visualizer,59.93%,323.4
2023-11-25 9:45,EVAM,18.42%,81.14
2023-11-25 9:50,Visualizer,61.73%,323.4
2023-11-25 9:50,EVAM,19.09%,81.86
2023-11-25 9:55,Visualizer,61.13%,323.4
2023-11-25 9:55,EVAM,19.05%,81.15
2023-11-25 10:00,Visualizer,58.98%,323.4
2023-11-25 10:00,EVAM,18.47%,81.14
2023-11-25 10:05,Visualizer,60.80%,323.4
2023-11-25 10:05,EVAM,20.11%,82.13
2023-11-25 10:10,Visualizer,62.77%,323.4
2023-11-25 10:10,EVAM,20.23%,81.14
2023-11-25 10:15,Visualizer,63.18%,323.4
2023-11-25 10:15,EVAM,18.57%,81.27
2023-11-25 10:20,Visualizer,61.97%,323.4
2023-11-25 10:20,EVAM,18.44%,81.13
2023-11-25 10:25,Visualizer,65.58%,323.4
2023-11-25 10:25,EVAM,19.15%,82.16
2023-11-25 10:30,Visualizer,61.57%,323.4
2023-11-25 10:30,EVAM,20.19%,90.76
2023-11-25 10:35,Visualizer,63.60%,323.4
2023-11-25 10:35,EVAM,17.81%,81.14
2023-11-25 10:40,Visualizer,61.41%,323.4
2023-11-25 10:40,EVAM,18.54%,81.86
2023-11-25 10:46,Visualizer,58.49%,323.4
2023-11-25 10:46,EVAM,18.70%,81.85
2023-11-25 10:51,Visualizer,62.59%,323.4
2023-11-25 10:51,EVAM,19.60%,81.13
2023-11-25 10:56,Visualizer,55.53%,323.4
2023-11-25 10:56,EVAM,18.20%,81.13
2023-11-25 11:01,Visualizer,64.71%,323.4
2023-11-25 11:01,EVAM,19.36%,81.27
2023-11-25 11:06,Visualizer,61.01%,323.4
2023-11-25 11:06,EVAM,18.92%,81.14
2023-11-25 11:11,Visualizer,64.43%,323.4
2023-11-25 11:11,EVAM,20.02%,81.98
2023-11-25 11:16,Visualizer,61.16%,323.4
2023-11-25 11:16,EVAM,19.71%,81.18
2023-11-25 11:21,Visualizer,62.80%,323.4
2023-11-25 11:21,EVAM,20.22%,81.31
2023-11-25 11:26,Visualizer,64.34%,323.4
2023-11-25 11:26,EVAM,18.40%,82.18
2023-11-25 11:31,Visualizer,64.75%,323.4
2023-11-25 11:31,EVAM,19.10%,81.18
2023-11-25 11:36,Visualizer,60.67%,323.4
2023-11-25 11:36,EVAM,17.86%,81.17
2023-11-25 11:41,Visualizer,61.79%,323.4
2023-11-25 11:41,EVAM,19.24%,82.18
2023-11-25 11:46,Visualizer,60.67%,323.4
2023-11-25 11:46,EVAM,20.11%,81.89
2023-11-25 11:51,Visualizer,63.67%,323.4
2023-11-25 11:51,EVAM,19.56%,81.18
2023-11-25 11:56,Visualizer,62.93%,323.4
2023-11-25 11:56,EVAM,19.82%,81.89
2023-11-25 12:01,Visualizer,61.72%,323.4
2023-11-25 12:01,EVAM,18.77%,81.18
2023-11-25 12:07,Visualizer,62.53%,323.4
2023-11-25 12:07,EVAM,20.67%,82.16
2023-11-25 12:12,Visualizer,61.25%,323.4
2023-11-25 12:12,EVAM,19.55%,81.24
2023-11-25 12:17,Visualizer,58.32%,323.4
2023-11-25 12:17,EVAM,19.28%,81.87
2023-11-25 12:22,Visualizer,60.45%,323.4
2023-11-25 12:22,EVAM,20.01%,81.88
2023-11-25 12:27,Visualizer,61.80%,323.4
2023-11-25 12:27,EVAM,20.20%,81.88
2023-11-25 12:32,Visualizer,61.26%,323.4
2023-11-25 12:32,EVAM,20.70%,89.78
2023-11-25 12:37,Visualizer,64.54%,323.4
2023-11-25 12:37,EVAM,19.90%,81.3
2023-11-25 12:42,Visualizer,62.32%,323.4
2023-11-25 12:42,EVAM,18.60%,82.16
2023-11-25 12:47,Visualizer,63.88%,323.4
2023-11-25 12:47,EVAM,18.64%,81.17
2023-11-25 12:52,Visualizer,59.04%,323.4
2023-11-25 12:52,EVAM,19.22%,81.17
2023-11-25 12:57,Visualizer,61.96%,323.4
2023-11-25 12:57,EVAM,19.83%,90.51
2023-11-25 13:02,Visualizer,62.87%,323.5
2023-11-25 13:02,EVAM,18.54%,81.86
2023-11-25 13:07,Visualizer,64.41%,323.4
2023-11-25 13:07,EVAM,18.40%,81.18
2023-11-25 13:12,Visualizer,61.85%,323.4
2023-11-25 13:12,EVAM,20.14%,82.16
2023-11-25 13:17,Visualizer,63.32%,323.4
2023-11-25 13:17,EVAM,20.05%,89.79
2023-11-25 13:22,Visualizer,61.99%,323.4
2023-11-25 13:22,EVAM,19.53%,81.17
2023-11-25 13:27,Visualizer,60.92%,323.4
2023-11-25 13:27,EVAM,19.18%,81.16
2023-11-25 13:33,Visualizer,61.45%,323.4
2023-11-25 13:33,EVAM,18.55%,81.86
2023-11-25 13:38,Visualizer,59.49%,323.4
2023-11-25 13:38,EVAM,19.22%,81.15
2023-11-25 13:43,Visualizer,59.95%,323.4
2023-11-25 13:43,EVAM,19.32%,81.14
2023-11-25 13:48,Visualizer,58.14%,323.4
2023-11-25 13:48,EVAM,24.11%,80.22
2023-11-25 13:53,Visualizer,57.93%,323.4
2023-11-25 13:53,EVAM,18.89%,86.16
2023-11-25 13:58,Visualizer,64.90%,323.4
2023-11-25 13:58,EVAM,19.08%,82.15
2023-11-25 14:03,Visualizer,61.57%,323.4
2023-11-25 14:03,EVAM,18.17%,81.16
2023-11-25 14:08,Visualizer,60.70%,323.4
2023-11-25 14:08,EVAM,18.64%,81.17
2023-11-25 14:13,Visualizer,60.42%,323.4
2023-11-25 14:13,EVAM,20.18%,81.16
2023-11-25 14:18,Visualizer,58.73%,323.4
2023-11-25 14:18,EVAM,18.18%,81.88
2023-11-25 14:23,Visualizer,62.82%,323.4
2023-11-25 14:23,EVAM,19.64%,81.17
2023-11-25 14:28,Visualizer,60.93%,323.4
2023-11-25 14:28,EVAM,19.80%,90.78
2023-11-25 14:33,Visualizer,64.14%,323.4
2023-11-25 14:33,EVAM,19.07%,82.24
2023-11-25 14:38,Visualizer,59.26%,323.4
2023-11-25 14:38,EVAM,18.86%,81.18
2023-11-25 14:43,Visualizer,61.65%,323.4
2023-11-25 14:43,EVAM,19.01%,81.86
2023-11-25 14:48,Visualizer,63.48%,323.5
2023-11-25 14:48,EVAM,19.03%,81.88
2023-11-25 14:54,Visualizer,61.42%,323.5
2023-11-25 14:54,EVAM,18.70%,81.18
2023-11-25 14:59,Visualizer,60.17%,323.5
2023-11-25 14:59,EVAM,19.30%,81.25
2023-11-25 15:04,Visualizer,62.35%,323.5
2023-11-25 15:04,EVAM,18.84%,81.16
2023-11-25 15:09,Visualizer,61.36%,323.5
2023-11-25 15:09,EVAM,19.22%,81.16
2023-11-25 15:14,Visualizer,65.51%,323.5
2023-11-25 15:14,EVAM,18.39%,81.17
2023-11-25 15:19,Visualizer,60.90%,323.5
2023-11-25 15:19,EVAM,20.91%,81.18
2023-11-25 15:24,Visualizer,60.15%,323.5
2023-11-25 15:24,EVAM,19.96%,81.86
2023-11-25 15:29,Visualizer,63.31%,323.5
2023-11-25 15:29,EVAM,17.93%,82.15
2023-11-25 15:34,Visualizer,62.59%,323.5
2023-11-25 15:34,EVAM,19.13%,81.16
2023-11-25 15:39,Visualizer,60.65%,323.5
2023-11-25 15:39,EVAM,19.84%,81.17
2023-11-25 15:44,Visualizer,59.36%,323.5
2023-11-25 15:44,EVAM,19.56%,81.17
2023-11-25 15:49,Visualizer,63.47%,323.5
2023-11-25 15:49,EVAM,20.12%,81.86
2023-11-25 15:54,Visualizer,59.45%,323.5
2023-11-25 15:54,EVAM,21.17%,81.28
2023-11-25 15:59,Visualizer,65.41%,323.5
2023-11-25 15:59,EVAM,20.72%,81.16
2023-11-25 16:04,Visualizer,61.95%,323.5
2023-11-25 16:04,EVAM,21.44%,90.47
2023-11-25 16:09,Visualizer,62.63%,323.5
2023-11-25 16:09,EVAM,19.82%,81.84
2023-11-25 16:14,Visualizer,59.70%,323.5
2023-11-25 16:14,EVAM,18.12%,81.16
2023-11-25 16:20,Visualizer,56.13%,323.5
2023-11-25 16:20,EVAM,18.26%,81.16
2023-11-25 16:25,Visualizer,59.00%,323.5
2023-11-25 16:25,EVAM,18.77%,81.16
2023-11-25 16:30,Visualizer,62.49%,323.5
2023-11-25 16:30,EVAM,18.86%,81.16
2023-11-25 16:35,Visualizer,62.64%,323.5
2023-11-25 16:35,EVAM,19.32%,82.15
2023-11-25 16:40,Visualizer,62.06%,323.5
2023-11-25 16:40,EVAM,19.70%,81.95
2023-11-25 16:45,Visualizer,61.56%,323.5
2023-11-25 16:45,EVAM,17.84%,81.82
2023-11-25 16:50,Visualizer,66.08%,323.5
2023-11-25 16:50,EVAM,20.35%,81.93
2023-11-25 16:55,Visualizer,60.57%,323.5
2023-11-25 16:55,EVAM,17.82%,81.79
2023-11-25 17:00,Visualizer,63.64%,323.5
2023-11-25 17:00,EVAM,19.55%,81.15
2023-11-25 17:05,Visualizer,61.73%,323.5
2023-11-25 17:05,EVAM,19.89%,81.19
2023-11-25 17:10,Visualizer,59.66%,323.5
2023-11-25 17:10,EVAM,20.04%,81.77
2023-11-25 17:15,Visualizer,58.70%,323.5
2023-11-25 17:15,EVAM,20.96%,90.4
2023-11-25 17:20,Visualizer,58.52%,323.5
2023-11-25 17:20,EVAM,20.37%,82.01
2023-11-25 17:25,Visualizer,61.03%,323.5
2023-11-25 17:25,EVAM,17.67%,81.75
2023-11-25 17:30,Visualizer,60.99%,323.5
2023-11-25 17:30,EVAM,20.17%,81.23
2023-11-25 17:35,Visualizer,60.60%,323.5
2023-11-25 17:35,EVAM,18.61%,81.09
2023-11-25 17:41,Visualizer,57.61%,323.6
2023-11-25 17:41,EVAM,16.83%,82.05
2023-11-25 17:46,Visualizer,59.04%,323.6
2023-11-25 17:46,EVAM,19.49%,81.14
2023-11-25 17:51,Visualizer,59.11%,323.6
2023-11-25 17:51,EVAM,18.52%,81.07
2023-11-25 17:56,Visualizer,58.28%,323.6
2023-11-25 17:56,EVAM,19.77%,81.71
2023-11-25 18:01,Visualizer,61.64%,323.6
2023-11-25 18:01,EVAM,17.85%,81.72
2023-11-25 18:06,Visualizer,56.16%,323.6
2023-11-25 18:06,EVAM,18.00%,81.14
2023-11-25 18:11,Visualizer,60.18%,323.6
2023-11-25 18:11,EVAM,18.41%,81.7
2023-11-25 18:16,Visualizer,60.77%,323.6
2023-11-25 18:16,EVAM,18.54%,82.18
2023-11-25 18:21,Visualizer,60.03%,323.6
2023-11-25 18:21,EVAM,18.15%,81.55
